Timestamp (HH:MM:SS),Wolne_miejsca,Zajete_miejsca
0:00:06,36,15
0:00:06,36,15
0:00:06,37,14
0:00:06,32,19
0:00:06,32,19
0:00:06,32,19
0:00:06,32,19
0:00:06,32,19
0:00:06,32,19
0:00:06,35,16
0:00:06,37,14
0:00:06,37,14
0:00:06,37,14
0:00:06,36,15
0:00:06,36,15
0:00:06,36,15
0:00:06,37,14
0:00:06,36,15
0:00:06,36,15
0:00:06,41,10
0:00:06,41,10
0:00:06,41,10
0:00:06,41,10
0:00:06,41,10
0:00:06,41,10
0:00:06,41,10
0:00:06,40,11
0:00:06,40,11
0:00:06,40,11
0:00:06,41,10
0:00:07,40,11
0:00:07,41,10
0:00:07,41,10
0:00:07,42,9
0:00:07,41,10
0:00:07,41,10
0:00:07,41,10
0:00:07,40,11
0:00:07,44,7
0:00:07,40,11
0:00:07,40,11
0:00:07,42,9
0:00:07,42,9
0:00:07,43,8
0:00:07,43,8
0:00:07,45,6
0:00:07,45,6
0:00:07,44,7
0:00:07,44,7
0:00:07,35,16
0:00:07,35,16
0:00:07,37,14
0:00:07,35,16
0:00:07,39,12
0:00:07,39,12
0:00:07,38,13
0:00:07,38,13
0:00:07,38,13
0:00:07,36,15
0:00:07,38,13
0:00:08,38,13
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,40,11
0:00:08,38,13
0:00:08,34,17
0:00:08,34,17
0:00:08,35,16
0:00:08,35,16
0:00:08,35,16
0:00:08,33,18
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,35,16
0:00:08,37,14
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,36,15
0:00:08,40,11
0:00:08,37,14
0:00:08,36,15
0:00:08,39,12
0:00:08,42,9
0:00:09,37,14
0:00:09,37,14
0:00:09,37,14
0:00:09,37,14
0:00:09,37,14
0:00:09,42,9
0:00:09,42,9
0:00:09,42,9
0:00:09,43,8
0:00:09,43,8
0:00:09,43,8
0:00:09,42,9
0:00:09,41,10
0:00:09,42,9
0:00:09,42,9
0:00:09,42,9
0:00:09,42,9
0:00:09,44,7
0:00:09,44,7
0:00:09,43,8
0:00:09,44,7
0:00:09,45,6
0:00:09,45,6
0:00:09,47,4
0:00:09,45,6
0:00:09,46,5
0:00:09,45,6
0:00:09,44,7
0:00:09,42,9
0:00:09,39,12
0:00:10,39,12
0:00:10,43,8
0:00:10,43,8
0:00:10,43,8
0:00:10,43,8
0:00:10,43,8
0:00:10,43,8
0:00:10,43,8
0:00:10,42,9
0:00:10,40,11
0:00:10,41,10
0:00:10,41,10
0:00:10,41,10
0:00:10,43,8
0:00:10,43,8
0:00:10,40,11
0:00:10,40,11
0:00:10,40,11
0:00:10,40,11
0:00:10,40,11
0:00:10,41,10
0:00:10,41,10
0:00:10,41,10
0:00:10,39,12
0:00:10,39,12
0:00:10,39,12
0:00:10,39,12
0:00:10,39,12
0:00:10,39,12
0:00:10,42,9
0:00:11,42,9
0:00:11,42,9
0:00:11,42,9
0:00:11,42,9
0:00:11,42,9
0:00:11,39,12
0:00:11,41,10
0:00:11,40,11
0:00:11,40,11
0:00:11,40,11
0:00:11,40,11
0:00:11,41,10
0:00:11,41,10
0:00:11,41,10
0:00:11,41,10
0:00:11,40,11
0:00:11,40,11
0:00:11,40,11
0:00:11,40,11
0:00:11,42,9
0:00:11,41,10
0:00:11,41,10
0:00:11,40,11
0:00:11,37,14
0:00:11,37,14
0:00:11,39,12
0:00:11,39,12
0:00:11,39,12
0:00:11,40,11
0:00:11,41,10
0:00:12,41,10
0:00:12,38,13
0:00:12,40,11
0:00:12,43,8
0:00:12,36,15
0:00:12,41,10
0:00:12,41,10
0:00:12,43,8
0:00:12,47,4
0:00:12,44,7
0:00:12,44,7
0:00:12,42,9
0:00:12,42,9
0:00:12,42,9
0:00:12,43,8
0:00:12,42,9
0:00:12,43,8
0:00:12,39,12
0:00:12,38,13
0:00:12,40,11
0:00:12,38,13
0:00:12,40,11
0:00:12,41,10
0:00:12,33,18
0:00:12,33,18
0:00:12,32,19
0:00:12,32,19
0:00:12,32,19
0:00:12,32,19
0:00:12,32,19
0:00:13,36,15
0:00:13,35,16
0:00:13,35,16
0:00:13,43,8
0:00:13,43,8
0:00:13,42,9
0:00:13,43,8
0:00:13,37,14
0:00:13,42,9
0:00:13,42,9
0:00:13,42,9
0:00:13,42,9
0:00:13,42,9
0:00:13,42,9
0:00:13,42,9
0:00:13,44,7
0:00:13,40,11
0:00:13,40,11
0:00:13,39,12
0:00:13,40,11
0:00:13,40,11
0:00:13,38,13
0:00:13,38,13
0:00:13,41,10
0:00:13,41,10
0:00:13,38,13
0:00:13,38,13
0:00:13,37,14
0:00:13,37,14
0:00:13,36,15
0:00:14,35,16
0:00:14,37,14
0:00:14,37,14
0:00:14,34,17
0:00:14,34,17
0:00:14,35,16
0:00:14,35,16
0:00:14,33,18
0:00:14,34,17
0:00:14,37,14
0:00:14,37,14
0:00:14,38,13
0:00:14,36,15
0:00:14,37,14
0:00:14,38,13
0:00:14,37,14
0:00:14,37,14
0:00:14,39,12
0:00:14,39,12
0:00:14,40,11
0:00:14,40,11
0:00:14,38,13
0:00:14,38,13
0:00:14,39,12
0:00:14,39,12
0:00:14,40,11
0:00:14,40,11
0:00:14,40,11
0:00:14,42,9
0:00:14,40,11
0:00:15,41,10
0:00:15,42,9
0:00:15,42,9
0:00:15,37,14
0:00:15,37,14
0:00:15,37,14
0:00:15,41,10
0:00:15,39,12
0:00:15,39,12
0:00:15,41,10
0:00:15,41,10
0:00:15,40,11
0:00:15,42,9
0:00:15,43,8
0:00:15,43,8
0:00:15,42,9
0:00:15,42,9
0:00:15,33,18
0:00:15,33,18
0:00:15,42,9
0:00:15,42,9
0:00:15,41,10
0:00:15,41,10
0:00:15,38,13
0:00:15,37,14
0:00:15,37,14
0:00:15,39,12
0:00:15,41,10
0:00:15,41,10
0:00:15,38,13
0:00:16,38,13
0:00:16,34,17
0:00:16,33,18
0:00:16,37,14
0:00:16,37,14
0:00:16,37,14
0:00:16,38,13
0:00:16,38,13
0:00:16,38,13
0:00:16,38,13
0:00:16,38,13
0:00:16,38,13
0:00:16,38,13
0:00:16,35,16
0:00:16,35,16
0:00:16,36,15
0:00:16,36,15
0:00:16,36,15
0:00:16,36,15
0:00:16,36,15
0:00:16,37,14
0:00:16,38,13
0:00:16,37,14
0:00:16,35,16
0:00:16,35,16
0:00:16,37,14
0:00:16,38,13
0:00:16,40,11
0:00:16,40,11
0:00:16,37,14
0:00:17,37,14
0:00:17,37,14
0:00:17,37,14
0:00:17,41,10
0:00:17,42,9
0:00:17,43,8
0:00:17,43,8
0:00:17,40,11
0:00:17,42,9
0:00:17,40,11
0:00:17,37,14
0:00:17,43,8
0:00:17,42,9
0:00:17,42,9
0:00:17,41,10
0:00:17,39,12
0:00:17,39,12
0:00:17,41,10
0:00:17,41,10
0:00:17,41,10
0:00:17,41,10
0:00:17,41,10
0:00:17,41,10
0:00:17,42,9
0:00:17,44,7
0:00:17,44,7
0:00:17,44,7
0:00:17,44,7
0:00:17,44,7
0:00:17,40,11
0:00:18,40,11
0:00:18,38,13
0:00:18,38,13
0:00:18,39,12
0:00:18,37,14
0:00:18,37,14
0:00:18,37,14
0:00:18,37,14
0:00:18,37,14
0:00:18,39,12
0:00:18,39,12
0:00:18,38,13
0:00:18,38,13
0:00:18,37,14
0:00:18,37,14
0:00:18,37,14
0:00:18,37,14
0:00:18,37,14
0:00:18,37,14
0:00:18,38,13
