epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4658.88,0.35616,0.22876,0.78724,0.9983,0.99838,0.99455,0.97245,0.26053,0.18275,0.78089,0.0004654,0.0004654,0.0004654
56,4737.91,0.35173,0.22744,0.78688,0.99851,0.99845,0.99462,0.97369,0.25286,0.17976,0.78025,0.0004555,0.0004555,0.0004555
57,4817.35,0.35332,0.22754,0.78705,0.99824,0.99835,0.99464,0.97468,0.25098,0.17992,0.77995,0.0004456,0.0004456,0.0004456
58,4896.49,0.35013,0.22628,0.78643,0.99836,0.99811,0.99461,0.97411,0.25417,0.17932,0.78032,0.0004357,0.0004357,0.0004357
59,4975.58,0.34749,0.22395,0.78584,0.99825,0.99833,0.99459,0.97368,0.25467,0.17906,0.78045,0.0004258,0.0004258,0.0004258
60,5054.89,0.34699,0.22569,0.7862,0.99848,0.99827,0.9946,0.97516,0.25196,0.1791,0.78015,0.0004159,0.0004159,0.0004159
61,5134.05,0.34545,0.22331,0.78603,0.99731,0.99741,0.99464,0.97491,0.25218,0.17901,0.78049,0.000406,0.000406,0.000406
62,5213,0.34131,0.22071,0.7857,0.99789,0.99791,0.9946,0.97673,0.24529,0.17627,0.7798,0.0003961,0.0003961,0.0003961
63,5292.14,0.34036,0.22005,0.78588,0.99851,0.9984,0.99459,0.97714,0.24314,0.17517,0.7794,0.0003862,0.0003862,0.0003862
64,5371.42,0.33934,0.21958,0.7853,0.99852,0.99841,0.99463,0.9766,0.24437,0.17445,0.77968,0.0003763,0.0003763,0.0003763
65,5450.4,0.33458,0.21763,0.78514,0.99862,0.99837,0.99462,0.9768,0.24392,0.17383,0.77954,0.0003664,0.0003664,0.0003664
66,5529.6,0.33449,0.21743,0.7854,0.99856,0.99838,0.99466,0.97751,0.24205,0.17367,0.77929,0.0003565,0.0003565,0.0003565
67,5609.36,0.3323,0.21602,0.78493,0.99838,0.99835,0.99463,0.97675,0.24631,0.17423,0.77986,0.0003466,0.0003466,0.0003466
68,5688.58,0.33229,0.21653,0.78517,0.99848,0.99854,0.99461,0.97691,0.24597,0.17442,0.78006,0.0003367,0.0003367,0.0003367
69,5767.53,0.32643,0.21509,0.78442,0.99848,0.99844,0.99464,0.97821,0.24049,0.17245,0.77939,0.0003268,0.0003268,0.0003268
70,5846.54,0.32804,0.2155,0.78475,0.99861,0.99841,0.9946,0.97825,0.23958,0.17177,0.77927,0.0003169,0.0003169,0.0003169
71,5925.57,0.32829,0.21585,0.78461,0.99852,0.99843,0.99458,0.97828,0.23831,0.17144,0.77897,0.000307,0.000307,0.000307
72,6004.8,0.32334,0.21342,0.78431,0.9985,0.99843,0.99461,0.97825,0.23878,0.17131,0.7792,0.0002971,0.0002971,0.0002971
73,6084.32,0.32292,0.21261,0.78452,0.99844,0.99831,0.99461,0.97901,0.23509,0.16994,0.77896,0.0002872,0.0002872,0.0002872
74,6163.46,0.32007,0.21171,0.78431,0.99838,0.99835,0.99465,0.97908,0.23704,0.17003,0.77921,0.0002773,0.0002773,0.0002773
75,6242.71,0.31971,0.21003,0.78394,0.99837,0.9984,0.99464,0.97978,0.23421,0.16912,0.77895,0.0002674,0.0002674,0.0002674
76,6321.66,0.31787,0.20926,0.78405,0.99858,0.99836,0.99463,0.98034,0.23312,0.16863,0.77889,0.0002575,0.0002575,0.0002575
